item,2,4,1,3,0,5,6,7,8,9,10,11,12
"Expected credit losses on financial assets, including off balance sheet amounts The expected credit loss (ECL) allowances for loans and advances are significant in the context of the financial statements due to their magnitude and the significant level of judgement required in determining the value of the allowances. We have identified the audit of the ECL allowances as a key audit matter. We focussed on the following areas of significant judgement and estimation: • Modelled ECL provisions A significant portion of ECL is calculated on a modelled basis. The development and execution of these models requires significant management judgement, including estimation of the probability of default (PD); exposure at default (EAD) and loss given default (LGD) model parameters. We also considered the completeness and accuracy of data inputs into the models. • Estimation and application of multiple forward-looking macro-economic scenarios These scenarios are incorporated into the modelled ECL estimation based on modelled correlations to the ECL model parameters. The scenario forecasts are provided by Absa’s group economics unit. • Post model adjustments Adjustments are applied to ECL model outputs where the models are unable to fully incorporate factors which impact on the ECL. • Evaluation of significant increases in credit risk (SICR) Absa assesses SICR based on the current risk of default of an account relative to its risk of default at origination. This is assessed utilising these key measures: - Relative PD movements - Qualitative indicators of heightened customer default risk - Individual exposure early watch list classifications (wholesale portfolios) • Stage 3 ECL provisions assessed on an individual basis A significant portion of loans and advances are assessed for recoverability on an individual basis, primarily in the Corporate, Investment Bank and Business Bank portfolios. Significant judgements, estimates and assumptions are applied by management to: - Determine if the financial asset is impaired; - Evaluate the valuation and recoverability of collateral; - Determine the expected future cash flows to be collected; and - Estimate the timing of the future cash flows. The disclosure associated with Credit Risk is set out in the financial statements in Note 3.1 on critical accounting judgements and key sources of estimation uncertainty, Note 41.2 on credit risk, and Notes 16, 19, 20, 21, 22 and 30 on impairment disclosures. Our audit testing included the following procedures in addressing the key audit matter. We evaluated the IFRS 9 accounting policies, and the appropriate- ness of the disclosures for credit risk and ECL methodologies ap- plied, and compared these to the requirements of IFRS 9: Financial Instruments. We obtained an understanding of management’s process over credit origination, credit monitoring and credit remediation and tested the relevant controls identified within these processes. • Modelled ECL provisions With the assistance of our credit risk quantitative specialists, we assessed the design and implementation of the ECL models, including assessing the significant assumptions applied with reference to the requirements of IFRS 9. We assessed the appropriateness of the models through reperformance and testing of management’s monitoring and validation controls. We also traced a sample of data inputs back to source. • Estimation and application of multiple forward-looking macro-economic scenarios With assistance from our economics specialists, we assessed the appropriateness of the macro-economic forecasts by benchmarking these against external evidence and economic data. Through our model reperformance, we tested the incorporation of the forecasts into the models. We performed sensitivity analyses on the forecasts to assess the reasonability impact of the scenarios on the modelled ECL. • Post model adjustments We assessed the data, assumptions and judgements applied by management when estimating the post model adjustments. We recalculated a sample of post-model adjustments. • Evaluation of significant increases in credit risk (SICR) We assessed the appropriateness of Absa’s SICR methodologies and calibrations and, with the assistance of our credit risk quantitative specialists, reperformed stage allocations for a sample of portfolios and individual exposures. • Stage 3 ECL provisions assessed on an individual basis We tested management’s processes and judgements used to determine whether specific exposures are credit impaired, including the completeness and reasonability of these assessments. Our procedures focused on assessing the reasonability of the estimate of the amount and timing of expected future cash flows used in measuring ECL. We performed the following for a sample of stage 3 exposures: - Where exposures are collateralised, we tested Absa’s legal right to the collateral, as well as the reasonability of the valuation of the collateral. Where management has utilised specialists, we assessed controls related to their competence and objectivity. - Where future cash flows are estimated based on a valuation of the loan counterparty’s underlying business, we tested these valuations with reference to available market information and counterparty specific information. We utilised our valuation specialists for a sample of more complex assessments.",,,"Our audit testing included the following procedures in addressing the key audit matter. We evaluated the IFRS 9 accounting policies, and the appropriate- ness of the disclosures for credit risk and ECL methodologies ap- plied, and compared these to the requirements of IFRS 9: Financial Instruments. We obtained an understanding of management’s process over credit origination, credit monitoring and credit remediation and tested the relevant controls identified within these processes. • Modelled ECL provisions With the assistance of our credit risk quantitative specialists, we assessed the design and implementation of the ECL models, including assessing the significant assumptions applied with reference to the requirements of IFRS 9. We assessed the appropriateness of the models through reperformance and testing of management’s monitoring and validation controls. We also traced a sample of data inputs back to source. • Estimation and application of multiple forward-looking macro-economic scenarios With assistance from our economics specialists, we assessed the appropriateness of the macro-economic forecasts by benchmarking these against external evidence and economic data. Through our model reperformance, we tested the incorporation of the forecasts into the models. We performed sensitivity analyses on the forecasts to assess the reasonability impact of the scenarios on the modelled ECL. • Post model adjustments We assessed the data, assumptions and judgements applied by management when estimating the post model adjustments. We recalculated a sample of post-model adjustments. • Evaluation of significant increases in credit risk (SICR) We assessed the appropriateness of Absa’s SICR methodologies and calibrations and, with the assistance of our credit risk quantitative specialists, reperformed stage allocations for a sample of portfolios and individual exposures. • Stage 3 ECL provisions assessed on an individual basis We tested management’s processes and judgements used to determine whether specific exposures are credit impaired, including the completeness and reasonability of these assessments. Our procedures focused on assessing the reasonability of the estimate of the amount and timing of expected future cash flows used in measuring ECL. We performed the following for a sample of stage 3 exposures: - Where exposures are collateralised, we tested Absa’s legal right to the collateral, as well as the reasonability of the valuation of the collateral. Where management has utilised specialists, we assessed controls related to their competence and objectivity. - Where future cash flows are estimated based on a valuation of the loan counterparty’s underlying business, we tested these valuations with reference to available market information and counterparty specific information. We utilised our valuation specialists for a sample of more complex assessments.",,"Expected credit losses on financial assets, including off balance sheet amounts The expected credit loss (ECL) allowances for loans and advances are significant in the context of the financial statements due to their magnitude and the significant level of judgement required in determining the value of the allowances. We have identified the audit of the ECL allowances as a key audit matter. We focussed on the following areas of significant judgement and estimation: • Modelled ECL provisions A significant portion of ECL is calculated on a modelled basis. The development and execution of these models requires significant management judgement, including estimation of the probability of default (PD); exposure at default (EAD) and loss given default (LGD) model parameters. We also considered the completeness and accuracy of data inputs into the models. • Estimation and application of multiple forward-looking macro-economic scenarios These scenarios are incorporated into the modelled ECL estimation based on modelled correlations to the ECL model parameters. The scenario forecasts are provided by Absa’s group economics unit. • Post model adjustments Adjustments are applied to ECL model outputs where the models are unable to fully incorporate factors which impact on the ECL. • Evaluation of significant increases in credit risk (SICR) Absa assesses SICR based on the current risk of default of an account relative to its risk of default at origination. This is assessed utilising these key measures: - Relative PD movements - Qualitative indicators of heightened customer default risk - Individual exposure early watch list classifications (wholesale portfolios) • Stage 3 ECL provisions assessed on an individual basis A significant portion of loans and advances are assessed for recoverability on an individual basis, primarily in the Corporate, Investment Bank and Business Bank portfolios. Significant judgements, estimates and assumptions are applied by management to: - Determine if the financial asset is impaired; - Evaluate the valuation and recoverability of collateral; - Determine the expected future cash flows to be collected; and - Estimate the timing of the future cash flows. The disclosure associated with Credit Risk is set out in the financial statements in Note 3.1 on critical accounting judgements and key sources of estimation uncertainty, Note 41.2 on credit risk, and Notes 16, 19, 20, 21, 22 and 30 on impairment disclosures.",,,,,,,,
"Our audit procedures included the following: • We gained an understanding of the impact of the separation on the control environment and activities of the Group and tested the design and operation of key controls relating to this. • We involved our Information Technology (IT) audit specialists to understand and test the IT general controls, including managing access, managing change and IT operations in order to assess the changes to the IT environment resulting from the migration of hosting of systems. They also tested IT application controls as part of this assessment, with a focus on risk to the financial statements. • In addition, we assessed the adequacy of the disclosures in the financial statements.",,,,,"Separation from Barclays Plc Barclays PLC reduced its shareholding in Absa Group Limited, the parent company of Absa Bank Kenya PLC, from 62.3% to 14.9% in 2016/2017. Following this announcement, a program was instituted to facilitate the replacement of systems and capabilities to successfully separate from Barclays PLC. This program involved investment and implementation of projects which will eliminate service dependency on Barclays PLC. This program also involved migration of the core banking application from the United Kingdom to South Africa and rebranding from Barclays to Absa. There was the migration of systems hosted by Barclays PLC to Absa Group Limited and resultant changes in the control environment and activities. The separation is disclosed in Note 48 to the financial statements. We considered this to be a key audit matter because of the significance of changes to information technology systems and financial reporting processes that impact on financial statement balances.",,,,,,,,
Shs’million,,,,,Shs’million,,,,,,,,
(11 726),,,,,(11 726),,,,,,,,
28 430,,,,,28 430,,,,,,,,
(6 400),,,,,(6 400),,,,,,,,
(4 273),,,,,(4 273),,,,,,,,
6 031,,,,,6 031,,,,,,,,
(1 711),,,,,(1 711),,,,,,,,
130,,,,,130,,,,,,,,
(104),,,,,(104),,,,,,,,
(1 685),,,,,(1 685),,,,,,,,
2 532,,,,,2 532,,,,,,,,
(5 974),,,,,(5 974),,,,,,,,
(3 442),,,,,(3 442),,,,,,,,
904,,,,,904,,,,,,,,
19 198,,,,,19 198,,,,,,,,
20 102,,,,,20 102,,,,,,,,
Category (as defined by IFRS 9) None Class (as determined by the Group) None Subclasses,Class (as determined by the Group),,None,,Category (as defined by IFRS 9),,,,,,,,
Financial assets Fair value through profit or loss (FVPL) Financial assets held for trading Investment in debt securities,Financial assets held for trading,,Fair value through profit or loss (FVPL),,Financial assets,,,,,,,,
None None None Derivative assets,None,,None,,None,,,,,,,,
None Amortised cost Loans and advances to banks None None,Loans and advances to banks,,Amortised cost,,None,,,,,,,,
None None Due from group companies None None,Due from group companies,,None,,None,,,,,,,,
None None Loans and advances to customers Loans to individuals Overdrafts,Loans and advances to customers,,None,,None,,,,,,,,
None None None None Credit cards,None,,None,,None,,,,,,,,
None None None None Term loans,None,,None,,None,,,,,,,,
None None None None Mortgages,None,,None,,None,,,,,,,,
None None None Loans to corporate entities Large corporate customers,None,,None,,None,,,,,,,,
None None None None SMEs,None,,None,,None,,,,,,,,
None None None None Others,None,,None,,None,,,,,,,,
None None Items in course of collection None None,Items in course of collection,,None,,None,,,,,,,,
None None Cash and balances with Central Bank of Kenya None None,Cash and balances with Central Bank of Kenya,,None,,None,,,,,,,,
None Fair value through other comprehensive income (FVOCI) Investment in debt securities,Investment in debt securities,,Fair value through other comprehensive income (FVOCI),,None,,,,,,,,
Financial liabilities Financial liabilities at amortised cost Deposits from banks None None,Deposits from banks,,Financial liabilities at amortised cost,,Financial liabilities,,,,,,,,
None None Deposits from customers Retail customers,Deposits from customers,,None,,None,,,,,,,,
None None None Large corporate customers,None,,None,,None,,,,,,,,
None None None SMEs,None,,None,,None,,,,,,,,
None None Borrowings None None,Borrowings,,None,,None,,,,,,,,
None None Due to group companies None None,Due to group companies,,None,,None,,,,,,,,
None None Other liabilities None None,Other liabilities,,None,,None,,,,,,,,
Off-balance sheet financial instruments Loan commitments None None None,None,,Loan commitments,,Off-balance sheet financial instruments,,,,,,,,
"None Guarantees, acceptances and other financial liabilities None None None",None,,"Guarantees, acceptances and other financial liabilities",,None,,,,,,,,
1 January 2019,,,,,1 January 2019,,,,,,,,
3 347,,,,,3 347,,,,,,,,
2 266,,,,,2 266,,,,,,,,
5 613,,,,,5 613,,,,,,,,
11 674,,,,,11 674,,,,,,,,
35 685,,,,,35 685,,,,,,,,
538,,,,,538,,,,,,,,
3 641,,,,,3 641,,,,,,,,
4 179,,,,,4 179,,,,,,,,
Shs million Shs’ million (Equivalent) Total Shs million,,,USD ‘million,,,,,,,,,,
7 382 151 21 528,8 064,,,,8 101,,,,,,,,
29 061,30 987,,,,31 024,,,,,,,,
4 12 16,107,,,,107,,,,,,,,
32,304,,,,289,,,,,,,,
(691) (6 127) (251) -,(966),,,,(963),,,,,,,,
(7 069),(7 861),,,,(7 845),,,,,,,,
Total,Stage 3,,Stage 2,,Stage 1,,,,,,,,
Shs'million,Shs'million,,Shs'million,,Shs'million,,,,,,,,
(4 201),(3 328),,(459),,(414),,,,,,,,
2019 None None,,,,,2019,,,,,,,,
Corporate Banking Consumer Banking Total,,,,,Corporate Banking,,,,,,,,
Shs'million Shs'million Shs’million,,,,,Shs'million,,,,,,,,
(295),(2 827),,(207),(3 329),,,,,,,,,
(2),-,,-,(2),,,,,,,,,
(297),(2 827),,(207),(3 331),,,,,,,,,
,518,,-,518,,,,,,,,,
599,4 906,,4 307,,,,,,,,,,
546,1 411,,865,,,,,,,,,,
1 145,6 885,,5 740,,,,,,,,,,
(185),(764),,(579),,,,,,,,,,
960,6 121,,5 161,,,,,,,,,,
581,4 888,,4 307,,,,,,,,,,
1 127,6 299,,5 172,,,,,,,,,,
942,5 535,,4 593,,,,,,,,,,
(1),-,,-,(1),,,,,,,,,
(3),-,,-,(3),,,,,,,,,
(111),-,,(108),(219),,,,,,,,,
(117),(1 045),,(252),(1 414),,,,,,,,,
Stage 1 Stage 2 Stage 3 Total,Stage 3,,Stage 2,,Stage 1,,,,,,,,
Shs'million Shs'million Shs'million Shs'million,Shs'million,,Shs'million,,Shs'million,,,,,,,,
(8 343) (81) (93) (440) (668) (27) (7) (262),,,,,,,,,,,,,
(9 921),(10 512),,,,(10 679),,,,,,,,
(412),(3 328),,(459),(4 199),,,,,,,,,
(40),,,,,(40),,,,,,,,
(16),,,,,(16),,,,,,,,
(56),,,,,(56),,,,,,,,
(493) (770),,,,,,,,,,,,,
(1 263),(964),,,,(975),,,,,,,,
(4 014) 70,,,,,,,,,,,,,
(3 944),(3 885),,,,(4 021),,,,,,,,
631 83,,,,,,,,,,,,,
714,718,,,,725,,,,,,,,
(3 230),(3 167),,,,(3 296),,,,,,,,
(24) (8) -,,,,,,,,,,,,,
(32),(30),,,,(30),,,,,,,,
(182) (658) (487) (183),,,,,,,,,,,,,
(1 510),(2 039),,,,(2 045),,,,,,,,
(3 252),,,,,,,,,,,,,
(4 794),(5 678),,,,(5 698),,,,,,,,
3 230,3 167,,,,3 296,,,,,,,,
7 416 5 432,7 161,,,,7 456,,,,,,,,
1.37,,,,,,,,,,,,,
7 091,,,,,7 091,,,,,,,,
21 719,,,,,21 719,,,,,,,,
28 808,,,,,28 808,,,,,,,,
Notional Contract Amount,Carrying value liabilities,,Carrying value assets,,,,,,,,,,
(24 178),(508),,87,,,,,,,,,,
(77 531),(981),,790,,,,,,,,,,
(1 937),(46),,44,,,,,,,,,,
(103 646),(1 535),,921,,,,,,,,,,
43 774,,,,,43 774,,,,,,,,
3 258 60 030 (58),,,,,,,,,,,,,
63 230,78 785,,,,79 221,,,,,,,,
3 804,,,,,3 804,,,,,,,,
3 803,,,,,3 803,,,,,,,,
350 1 150 1 953 4 702 1 724,459,,,,459,,,,,,,,
9 879 -,7 616,,,,7 689,,,,,,,,
9 879,7 614,,,,7 687,,,,,,,,
(448) 11 536,,,,,(403),,,,,,,,
100% 100% 100% 100% 100%,363,,,,100%,,,,,,,,
6 004,,,,,6 004,,,,,,,,
5 003,,,,,5 003,,,,,,,,
548,,,,,548,,,,,,,,
11 555,,,,,11 555,,,,,,,,
Freehold buildings Right of use assets Leasehold improvements Fixtures fittings and equipment Motor vehicles Total,,,,,,,,,,,,,
134,,8 569,-,3 616,,34,12 353,,,,,,
(82),,(7 346),-,(2 628),,(25),(10 081),,,,,,
(83),,(7 594),(408),(2 711),,(20),(10 816),,,,,,
51,,823,1 085,883,,1,2 843,,,,,,
Computer software,Total,,WIP,,,,,,,,,,
5 659,5 746,,87,,,,,,,,,,
39,136,,97,,,,,,,,,,
74,-,,(74),,,,,,,,,,
(15),(15),,-,,,,,,,,,,
5 757,5 867,,110,,,,,,,,,,
(4 868),(4 868),,-,,,,,,,,,,
(393),(393),,-,,,,,,,,,,
12,12,,-,,,,,,,,,,
(5 249),(5 249),,-,,,,,,,,,,
508,618,,110,,,,,,,,,,
5 634,5 698,,64,,,,,,,,,,
7,104,,97,,,,,,,,,,
5 677,5 787,,110,,,,,,,,,,
(4 867),(4 867),,-,,,,,,,,,,
(5 248),(5 248),,-,,,,,,,,,,
429,539,,110,,,,,,,,,,
45,,,,,45,,,,,,,,
(9),,,,,(9),,,,,,,,
35,,,,,35,,,,,,,,
Service,,,,,Service,,,,,,,,
Less than 20 years,,,,,Less than 20 years,,,,,,,,
20 to 30 years,,,,,20 to 30 years,,,,,,,,
30 years and over,,,,,30 years and over,,,,,,,,
12.80%,,,,,12.80%,,,,,,,,
9.00%,,,,,9.00%,,,,,,,,
7.00%,,,,,7.00%,,,,,,,,
PA (90),,,,,PA (90),,,,,,,,
4.00%,,,,,4.00%,,,,,,,,
24,,,,,24,,,,,,,,
22,,,,,22,,,,,,,,
4 894,,,,,4 894,,,,,,,,
(583),,,,,(583),,,,,,,,
121,,,,,121,,,,,,,,
575,,,,,575,,,,,,,,
(254),,,,,(254),,,,,,,,
4 753,,,,,4 753,,,,,,,,
79,,,,,79,,,,,,,,
123,,,,,123,,,,,,,,
(47),,,,,(47),,,,,,,,
(99),,,,,(99),,,,,,,,
(261),,,,,(261),,,,,,,,
(33),,,,,(33),,,,,,,,
(341),,,,,(341),,,,,,,,
(4 412),,,,,(4 412),,,,,,,,
341,,,,,341,,,,,,,,
Debt instruments Shs’ million,Other instruments Shs’ million,,Equity instruments Shs’ million,Total Shs’million,,,,,,,,,
1 118,-,,705,1 823,,,,,,,,,
(4 633),,,,,(4 633),,,,,,,,
(24),,,,,(24),,,,,,,,
(540),,,,,(540),,,,,,,,
583,,,,,583,,,,,,,,
Base,Discount rate +0.50%,PA(90) - 1 year,Discount rate -1.00%,Inflation +0.50%,,,,,,,,,
67,63,68,75,71,,,,,,,,,
517,497,526,560,541,,,,,,,,,
3 828,3 727,3 933,4 050,3 955,,,,,,,,,
4 412,4 287,4 527,4 685,4 567,,,,,,,,,
Balance at 1 January,Recognised in other comprehensive income,Balance at 31 December,Recognised in profit or loss,Recognised in retained earnings,,,,,,,,,
(37),-,120,157,-,,,,,,,,,
(198),107,(91),-,-,,,,,,,,,
43,-,40,(3),-,,,,,,,,,
779,-,1 108,329,-,,,,,,,,,
21,-,31,10,-,,,,,,,,,
164,-,234,70,-,,,,,,,,,
73,-,90,17,-,,,,,,,,,
253,-,398,145,-,,,,,,,,,
96,30,126,-,-,,,,,,,,,
68,-,63,-,(5),,,,,,,,,
918,-,918,-,-,,,,,,,,,
2 180,137,3 123,725,81,,,,,,,,,
Shs million,Shs million,,Shs million,,Shs million,,,,,,,,
533 2 194 246 445 1 122 239 - 5 534 -,,,,,,,,,,,,,
10 313,14 353,,,,14 380,,,,,,,,
250,-,395,145,-,,,,,,,,,
2 155,138,3 097,718,86,,,,,,,,,
Stage 1 Outstanding exposure,Stage 3 Outstanding exposure,,Stage 2 Outstanding exposure,Total Outstanding exposure,,,,,,,,,
68 735,28,,9 611,78 374,,,,,,,,,
(249),-,,249,-,,,,,,,,,
15,-,,(15),-,,,,,,,,,
(13 875),-,,(6 215),(20 090),,,,,,,,,
40 054,-,,2 328,42 382,,,,,,,,,
94 680,57,,5 929,100 666,,,,,,,,,
3 754,,,,,3 754,,,,,,,,
329,,,,,329,,,,,,,,
4 083,,,,,4 083,,,,,,,,
5 385 149 473 52 550,5 999,,,,5 999,,,,,,,,
207 408,238 291,,,,237 739,,,,,,,,
58,3,,178,239,,,,,,,,,
1,-,,(1),-,,,,,,,,,
(12),-,,(6),(18),,,,,,,,,
59,14,,79,152,,,,,,,,,
7 601,,,,,7 601,,,,,,,,
27,,,,,27,,,,,,,,
7 628,,,,,7 628,,,,,,,,
2 716,,,,,2 716,,,,,,,,
Opening balance,Forfeited,Closing balance,Granted/ transferred,Exercised,,,,,,,,,
123 846,-,346 621,222 775,-,,,,,,,,,
1 987,-,-,-,(1 987),,,,,,,,,
34 380,(761),28 586,11 715,(16 748),,,,,,,,,
7 291,-,5 493,-,(1 798),,,,,,,,,
541,176,88,(176),(453),,,,,,,,,
Weighted average share price at exercise date during the reporting period (Shs) Weighted average contractual life of awards outstanding (years) Weighted average fair value of options granted during the period (Shs),Weighted average fair value of options granted during the period (Shs),,Weighted average contractual life of awards outstanding (years),,Weighted average share price at exercise date during the reporting period (Shs),,,,,,,,
2018 2018,2019,2019,,,2019,,,,,,,,
10 646 5 615 (27 222) (4) 3 871 792 53 407 1 81 25,,,,,,,,,,,,,
(5 735),(6 014),,,,(5 624),,,,,,,,
(78) (1 878) 565 1 163 (15 567) (4 859) (1 125) (5 661) 28 279 (20 100) 2 249 21 431,,,,,,,,,,,,,
4 419,(5 712),,,,(5 896),,,,,,,,
(1 316),(11 726),,,,(11 520),,,,,,,,
4 888,,,,,4 888,,,,,,,,
1 086,,,,,1 086,,,,,,,,
5 974,,,,,5 974,,,,,,,,
5 815 6 828 6 572,7 091,,,,7 091,,,,,,,,
19 215,20 102,,,,20 131,,,,,,,,
415 (4 014) 70 25,,,,,,,,,,,,,
(3 504),(4 273),,,,(4 471),,,,,,,,
Fair Value through Profit/ Loss Fair Value through OCI - Debt instruments Amortised Cost - Debt instruments Amortised cost financial liabilities Total Assets and Liabilities,,,,,,,,,,,,,
Shs’million Shs’million Shs’million Shs’million Shs’million,,,,,,,,,,,,,
1 535,-,1 535,-,-,,,,,,,,,
Gross Maximum Exposure,DG 10-19,DG1-9,DG1-9,DG 20-21,,DG 10-19,DG 20-21,DG 20 – 22,,,,,
79 281,-,-,79 281,-,,-,-,-,,,,,
8 704,-,-,8 704,-,,-,-,-,,,,,
4 585,-,-,4 585,-,,-,-,-,,,,,
205 915,170 851,3 000,1 959,1 543,,9 153,8 620,10 789,,,,,
367 781,183 206,3 000,107 696,1 543,,9 153,8 620,10 789,,,,,
(11 084),(2 227),(20),(66),(182),,(458),(1 656),(6 475),,,,,
356 697,180 979,2 980,107 630,1 361,,8 695,6 964,4 314,,,,,
100 666,73 880,8 880,7 465,1,,8 577,1 803,60,,,,,
Exposure relating to on SOFP,Physical collateral,Other,Guarantees credit insurance and credit derivatives,Cash collateral,,,Unsecured,Guarantees credit insurance and credit derivatives,Physical collateral,Cash collateral,Other,Unsecured,Total
Shs’ million,Shs’ million,Shs’ million,Shs’ million,Shs’ million,,,Shs’ million,Shs’ million,Shs’ million,Shs’ million,Shs’ million,Shs’ million,Shs’ million
921,-,-,-,921,,,-,-,-,-,-,-,-
194 895,491,141,48,264,,,840,1 320,12 502,132,940,18 346,159 871
458 348,493,143,48,1 185,,,844,1 586,14 947,325,1 146,27 481,410 150
Financial services,Manufacturing,,Government,Wholesale and retail trade,,Transportation and communication,Agricultural,Private individuals,Other,Total,,,
550,204,,-,-,,-,161,-,6,921,,,
4 353,36 741,,151 803,33 052,,5 168,8 597,89 217,22 491,351 422,,,
Stage 1,Stage 3,,Stage 2,Total,,,,,,,,,
676,1 984,,137,2 797,,,,,,,,,
(21),1,,20,-,,,,,,,,,
56,(1),,(55),-,,,,,,,,,
18,(39),,21,-,,,,,,,,,
(978),(682),,(1 062),(2 722),,,,,,,,,
1 212,1 372,,1 623,4 207,,,,,,,,,
963,1 985,,684,3 632,,,,,,,,,
167 969,10 297,,9 314,187 580,,,,,,,,,
(3 395),1 970,,1 425,-,,,,,,,,,
(4 054),1 597,,2 457,-,,,,,,,,,
(498),1 055,,(557),-,,,,,,,,,
(84 750),(1 337),,(9 794),(95 881),,,,,,,,,
108 830,570,,8 202,117 602,,,,,,,,,
184 102,10 766,,11 047,205 915,,,,,,,,,
Shs’million Shs’million Shs’million Shs’million,Shs’million,,Shs’million,,Shs’million,,,,,,,,
Stage 1 12 month ECL,Stage 3 Lifetime ECL,,Stage 2 Lifetime ECL,Total,,,,,,,,,
1 330,4 552,,1 547,7 429,,,,,,,,,
(373),141,,232,-,,,,,,,,,
30,(909),,879,-,,,,,,,,,
(115),(834),,(2 163),(3 112),,,,,,,,,
558,4 252,,997,5 807,,,,,,,,,
1 448,4 490,,1 450,7 388,,,,,,,,,
18 365,,,,,18 365,,,,,,,,
77 458,,,,,77 458,,,,,,,,
4 843,,,,,4 843,,,,,,,,
Profit or loss,,,,,Profit or loss,,,,,,,,
12 394,,,,,12 394,,,,,,,,
829,,,,,829,,,,,,,,
4 528,,,,,4 528,,,,,,,,
334,,,,,334,,,,,,,,
154,,,,,154,,,,,,,,
38,,,,,38,,,,,,,,
(12 481),,,,,(12 481),,,,,,,,
(829),,,,,(829),,,,,,,,
(4 528),,,,,(4 528),,,,,,,,
(335),,,,,(335),,,,,,,,
(19),,,,,(19),,,,,,,,
(152),,,,,(152),,,,,,,,
25,,,,,25,,,,,,,,
(58),,,,,(58),,,,,,,,
Assets Shs’million,,,Liabilities Shs’million,,,,,,,,,,
123 939 8 285 45 284 3 343 211 1 535 378,,,(124 813) (8 290) (45 277) (3 351) (192) (1 524) (373),,,,,,,,,,
182 975,,,(183 820),,,,,,,,,,
Up to 1 month,4 - 12 months,Non-interest bearing,1 - 3 months,Over 1 year,,Total,,,,,,,
12 475,25 888,-,3 469,1 942,,43 774,,,,,,,
5 595,25 487,-,9 496,38 643,,79 221,,,,,,,
2 000,-,-,-,1 803,,3 803,,,,,,,
6 648,-,-,-,1 470,,8 118,,,,,,,
139 060,29 099,-,18 031,8 705,,194 895,,,,,,,
165 778,80 474,28 808,30 996,52 563,,358 619,,,,,,,
3 613,34 703,-,14 105,11 929,,64 350,,,,,,,
72 392,20 373,122 426,17 014,5 534,,237 739,,,,,,,
80 088,55 076,122 426,38 720,17 463,,313 773,,,,,,,
85 690,25 398,(93 618),(7 724),35 100,,44 846,,,,,,,
1%,,,1%,,,,,,,,,,
Increase in interest rate,,,Decrease in interest rates,,,,,,,,,,
"2,045",,,"(1,828)",,,,,,,,,,
"(1,438)",,,662,,,,,,,,,,
607,,,"(1,166)",,,,,,,,,,
(182),,,350,,,,,,,,,,
425,,,(816),,,,,,,,,,
On demand Within 1 year 1 – 5 years More than 5 years Total Total,1 – 5 years,,Within 1 year,More than 5 years,,,,,,,,,
Shs’million Shs’million Shs’million Shs’million Shs’million Shs’million,Shs’million,,Shs’million,Shs’million,,,,,,,,,
109,2 142,50 875,46 306,2 318,,43 774,,,,,,,
2 529,45 472,128 998,42 210,38 787,,79 821,,,,,,,
17 748,165 853,345 908,42 567,119 740,,194 895,,,,,,,
61 701,213 467,567 096,131 083,160 845,,359 805,,,,,,,
235,8 994,113 395,53 108,51 058,,64 350,,,,,,,
171 165,8 530,246 995,67 300,-,,237 739,,,,,,,
2 012,-,15 969,13 957,-,,14 380,,,,,,,
177 495,24 467,391 900,134 365,55 573,,328 180,,,,,,,
On demand,1 – 5 years,,Within 1 year,Total,,,,,,,,,
Notional amount,Within 1 year,,On demand,More than 5 years,,,,,,,,,
2 716 35 072,,,,,2 716,,,,,,,,
5 096,,,,,7 628,,,,,,,,
Within 12 months,Total,,After 12 months,,,,,,,,,,
41 844,43 774,,1 930,,,,,,,,,,
44 001,79 221,,35 220,,,,,,,,,,
56 099,194 895,,138 796,,,,,,,,,,
7 687,7 687,,-,,,,,,,,,,
47,47,,-,,,,,,,,,,
192 339,374 904,,182 565,,,,,,,,,,
64 350,64 350,,-,,,,,,,,,,
184 398,237 739,,53 341,,,,,,,,,,
14 380,14 380,,-,,,,,,,,,,
268 746,329 715,,60 969,,,,,,,,,,
(76 407),45 189,,121 596,,,,,,,,,,
Corporate Banking,Total,,Consumer Banking,,,,,,,,,,
5 545,23 179,,17 634,,,,,,,,,,
4 104,10 589,,6 485,,,,,,,,,,
9 649,33 768,,24 119,,,,,,,,,,
(941),(4 201),,(3 260),,,,,,,,,,
8 708,29 567,,20 859,,,,,,,,,,
(207),(1 463),,(1 256),,,,,,,,,,
(1 764),(17 352),,(15 588),,,,,,,,,,
(1 971),(18 815),,(16 844),,,,,,,,,,
6 737,10 752,,4 015,,,,,,,,,,
(1 587),(3 296),,(1 709),,,,,,,,,,
5 150,7 456,,2 306,,,,,,,,,,
75 158,194 895,,119 737,,,,,,,,,,
94 519,176 206,,81 687,,,,,,,,,,
173 480,374 904,,201 424,,,,,,,,,,
51 500,237 739,,186 239,,,,,,,,,,
76 814,91 976,,15 162,,,,,,,,,,
128 314,329 715,,201 401,,,,,,,,,,
Amounts subject to master netting agreement,Financial instrument collateral,,,Net amount,Amounts presented in the SOFP,,,,,,,,
15 857,,,,,15 857,,,,,,,,
61 601,,,,,61 601,,,,,,,,
84 809,,,,,84 809,,,,,,,,
Shareholders information Notice of the annual general meeting 216 Proxy Form 219 List of Abbreviations 221 None,,,,,Shareholders information Notice of the annual general meeting 216 Proxy Form 219 List of Abbreviations 221,,,,,,,,
